,0
0,0.1199
1,0.0367
2,0.2621
3,0.2644
4,0.0182
5,0.2683
6,0.1233
7,0.1558
8,0.2205
9,0.2245
10,0.1727
11,0.2472
12,0.1403
13,0.1851
14,0.2648
15,0.0621
16,0.265
17,0.0457
18,0.2631
19,0.2709
20,0.1583
21,0.0317
22,0.2704
23,0.2746
24,0.1019
25,0.2721
26,0.2706
27,0.2696
28,0.1922
29,0.2694
30,0.2604
31,0.274
32,0.2275
33,0.2363
34,0.278
35,0.2727
36,0.2277
37,0.2763
38,0.2683
39,0.2788
40,0.273
41,0.2094
42,0.2757
43,0.2612
44,0.2857
45,0.2698
46,0.2744
47,0.2769
48,0.282
49,0.273
50,0.2805
51,0.208
52,0.2774
53,0.2857
54,0.2866
55,0.278
56,0.2885
57,0.2092
58,0.283
59,0.0713
60,0.2746
61,0.2717
62,0.2801
63,0.0556
64,0.2855
65,0.2759
66,0.2841
67,0.0734
68,0.2826
69,0.2591
70,0.2767
71,0.2748
72,0.2931
73,0.2727
74,0.2767
75,0.2509
76,0.2769
77,0.2767
78,0.2778
79,0.2652
80,0.2702
81,0.265
82,0.2855
83,0.2765
84,0.2788
85,0.2763
86,0.2738
87,0.2646
88,0.278
89,0.2646
90,0.2885
91,0.161
92,0.2807
93,0.2593
94,0.2818
95,0.1061
96,0.2778
97,0.2809
98,0.278
99,0.2161
100,0.2807
101,0.2826
102,0.2826
103,0.1363
104,0.2824
105,0.2883
106,0.2797
107,0.2836
108,0.2818
109,0.2834
110,0.2805
111,0.2755
112,0.143
113,0.2803
114,0.0618
115,0.2895
116,0.2801
117,0.2784
118,0.2474
119,0.273
120,0.2354
121,0.2797
122,0.0702
123,0.2826
124,0.2816
125,0.2841
126,0.2807
127,0.2761
128,0.2887
129,0.2751
130,0.2849
131,0.2908
132,0.286
133,0.2809
134,0.278
135,0.2767
136,0.283
137,0.2786
138,0.1631
139,0.2648
140,0.2782
141,0.2811
142,0.2761
143,0.2893
144,0.2767
145,0.2847
146,0.2862
147,0.2887
148,0.286
149,0.2878
150,0.273
151,0.2862
152,0.2677
153,0.2792
154,0.1262
155,0.2855
156,0.2101
157,0.2872
158,0.2945
159,0.2899
160,0.2853
161,0.2906
162,0.2883
163,0.283
164,0.2822
165,0.2795
166,0.2763
167,0.2876
168,0.278
169,0.2935
170,0.2887
171,0.2868
172,0.2887
173,0.2889
174,0.2784
175,0.2841
176,0.2916
177,0.2839
178,0.2665
179,0.2845
180,0.2922
181,0.2985
182,0.2809
183,0.2828
184,0.2874
185,0.2983
186,0.2813
187,0.2818
188,0.2866
189,0.2883
190,0.2776
191,0.2805
192,0.2952
193,0.2904
194,0.2813
195,0.2788
196,0.2522
197,0.2868
198,0.2704
199,0.279
200,0.2686
201,0.2784
202,0.2725
203,0.283
204,0.2759
205,0.2803
206,0.2732
207,0.279
208,0.2195
209,0.2826
210,0.2751
211,0.2803
212,0.2698
213,0.2881
214,0.278
215,0.2822
216,0.282
217,0.2929
218,0.2826
219,0.2868
220,0.2805
221,0.292
222,0.282
223,0.2864
224,0.2897
225,0.2843
226,0.2899
227,0.2759
228,0.2864
229,0.2813
230,0.2927
231,0.2816
232,0.2853
233,0.2805
234,0.2945
235,0.2855
236,0.2939
237,0.2836
238,0.2843
239,0.2891
240,0.2836
241,0.2795
242,0.2757
243,0.27
244,0.2755
245,0.2683
246,0.2836
247,0.286
248,0.2824
249,0.2585
250,0.2864
251,0.2751
252,0.2811
253,0.2797
254,0.2887
255,0.2857
256,0.2849
257,0.2839
258,0.2843
259,0.2866
260,0.2845
261,0.278
262,0.2834
263,0.2931
264,0.2887
265,0.2778
266,0.2832
267,0.292
268,0.2832
269,0.2841
270,0.287
271,0.2742
272,0.2929
273,0.2889
274,0.2849
275,0.2914
276,0.2849
277,0.2851
278,0.2807
279,0.2885
280,0.2889
281,0.2883
282,0.2744
283,0.2868
284,0.2818
285,0.2956
286,0.2803
287,0.2862
288,0.2897
289,0.295
290,0.2834
291,0.2876
292,0.2881
293,0.2937
294,0.2935
295,0.2788
296,0.2979
297,0.2839
298,0.2897
299,0.2851
300,0.2927
301,0.2834
302,0.2832
303,0.2849
304,0.2893
305,0.2916
306,0.2927
307,0.2841
308,0.291
309,0.2746
310,0.2841
311,0.2851
312,0.2855
313,0.2943
314,0.2851
315,0.2906
316,0.2901
317,0.2872
318,0.2757
319,0.2851
320,0.2866
321,0.2937
322,0.2788
323,0.2855
324,0.2948
325,0.2945
326,0.2767
327,0.2813
328,0.2878
329,0.2939
330,0.2813
331,0.2792
332,0.2797
333,0.2943
334,0.2776
335,0.2826
336,0.2788
337,0.2943
338,0.2811
339,0.2828
340,0.2952
341,0.2883
342,0.2818
343,0.2849
344,0.2872
345,0.2811
346,0.2826
347,0.2883
348,0.2855
349,0.2872
350,0.2872
351,0.2857
352,0.2855
353,0.2721
354,0.2855
355,0.2876
356,0.2881
357,0.283
358,0.2887
359,0.2839
360,0.2857
361,0.2836
362,0.2925
363,0.2807
364,0.286
365,0.2864
366,0.2904
367,0.2893
368,0.2878
369,0.2887
370,0.2971
371,0.2811
372,0.2887
373,0.2857
374,0.2941
375,0.2895
376,0.2857
377,0.2994
378,0.2843
379,0.292
380,0.287
381,0.2891
382,0.2948
383,0.2935
384,0.2897
385,0.2914
386,0.2956
387,0.2916
388,0.2908
389,0.2881
390,0.2981
391,0.2906
392,0.2916
393,0.2901
394,0.2868
395,0.2943
396,0.2864
397,0.2845
398,0.2908
399,0.2864
400,0.2977
401,0.2929
402,0.2845
403,0.2897
404,0.2824
405,0.2945
406,0.2853
407,0.2872
408,0.283
409,0.2862
410,0.2801
411,0.2807
412,0.2828
413,0.2929
414,0.2732
415,0.2878
416,0.2904
417,0.2977
418,0.2925
419,0.291
420,0.2906
421,0.2933
422,0.2937
423,0.2878
424,0.2941
425,0.2878
426,0.2971
427,0.2901
428,0.2935
429,0.296
430,0.286
431,0.2948
432,0.2887
433,0.2918
434,0.296
435,0.2922
436,0.2943
437,0.2918
438,0.291
439,0.2931
440,0.2839
441,0.2933
442,0.2849
443,0.2857
444,0.2994
445,0.2889
446,0.2937
447,0.2878
448,0.2948
449,0.2933
450,0.2931
451,0.2935
452,0.2891
453,0.2931
454,0.2799
455,0.2906
456,0.2809
457,0.2916
458,0.282
459,0.2912
460,0.2885
461,0.2952
462,0.2857
463,0.2916
464,0.2891
465,0.2841
466,0.2943
467,0.2851
468,0.2983
469,0.2914
470,0.2899
471,0.2927
472,0.2918
473,0.2899
474,0.2885
475,0.2954
476,0.2874
477,0.3
478,0.2883
479,0.291
480,0.2841
481,0.2929
482,0.2952
483,0.2904
484,0.2893
485,0.2881
486,0.2901
487,0.2851
488,0.2925
489,0.2891
490,0.2899
491,0.2893
492,0.2893
493,0.2933
494,0.2914
495,0.2891
496,0.2912
497,0.2897
498,0.295
499,0.2885
500,0.2941
501,0.2943
502,0.291
503,0.2969
504,0.2876
505,0.2954
506,0.2927
507,0.2899
508,0.292
509,0.2914
510,0.2935
511,0.2899
512,0.2952
513,0.2889
514,0.2931
515,0.2927
516,0.2862
517,0.295
518,0.2857
519,0.2933
520,0.291
521,0.2914
522,0.2966
523,0.2912
524,0.2889
525,0.2899
526,0.2912
527,0.2891
528,0.2964
529,0.2889
530,0.2958
531,0.2931
532,0.2931
533,0.2935
534,0.2927
535,0.2901
536,0.2918
537,0.2895
538,0.2904
539,0.2899
540,0.2904
541,0.2893
542,0.291
543,0.2887
544,0.2906
545,0.2899
546,0.2891
547,0.2929
548,0.2897
549,0.2916
550,0.2864
551,0.2971
552,0.287
553,0.287
554,0.295
555,0.2958
556,0.2931
557,0.2901
558,0.2966
559,0.292
560,0.2958
561,0.2939
562,0.2935
563,0.2906
564,0.2941
565,0.2899
566,0.2945
567,0.2895
568,0.291
569,0.2939
570,0.2893
571,0.2935
572,0.286
573,0.2889
574,0.287
575,0.2939
576,0.2862
577,0.2889
578,0.2975
579,0.2912
580,0.2929
581,0.2901
582,0.2922
583,0.2933
584,0.2927
585,0.2904
586,0.2929
587,0.2901
588,0.292
589,0.2899
590,0.2918
591,0.2897
592,0.2927
593,0.2901
594,0.2893
595,0.296
596,0.2841
597,0.2931
598,0.292
599,0.2952
600,0.2912
601,0.2918
602,0.2927
603,0.2945
604,0.2927
605,0.2889
606,0.2927
607,0.291
608,0.2929
609,0.2906
610,0.2929
611,0.2883
612,0.2941
613,0.2889
614,0.2914
615,0.2908
616,0.2901
617,0.2962
618,0.2864
619,0.2925
620,0.2939
621,0.2922
622,0.295
623,0.2899
624,0.2904
625,0.2929
626,0.2891
627,0.2935
628,0.2931
629,0.2876
630,0.2918
631,0.2908
632,0.2933
633,0.2935
634,0.2891
635,0.2925
636,0.2897
637,0.2899
638,0.2893
639,0.2885
640,0.2912
641,0.2864
642,0.2883
643,0.2891
644,0.2893
645,0.2889
646,0.2857
647,0.2922
648,0.2836
649,0.287
650,0.291
651,0.2941
652,0.2893
653,0.291
654,0.2904
655,0.2883
656,0.2899
657,0.2878
658,0.2925
659,0.2881
660,0.2904
661,0.2904
662,0.291
663,0.2881
664,0.2941
665,0.2895
666,0.2889
667,0.2937
668,0.2868
669,0.292
670,0.295
671,0.2878
672,0.2945
673,0.2925
674,0.291
675,0.2904
676,0.2897
677,0.291
678,0.2918
679,0.2893
680,0.2929
681,0.2897
682,0.2931
683,0.2925
684,0.2899
685,0.2891
686,0.2906
687,0.2899
688,0.2922
689,0.2876
690,0.2904
691,0.2952
692,0.287
693,0.2914
694,0.2916
695,0.2943
696,0.2887
697,0.2883
698,0.2925
699,0.2941
700,0.2899
